"Naziv takmicenja","Ime i prezime",Rezultat
"IPHO 2016,Bahrudin Trbalic,srebrena medalja
"
"IPHO 2015,Bahrudin Trbalic,bronzana medalja
"
"IPHO 2016,Nermedin Dzekovic,srebrena medalja
"
"IPHO 2015,Nermedin Dzekovic,bronzana medalja
"
"IPHO 2016,Dzenan Devedzic,pocasna pohvala
"
